Species,JFBM,Yr.,Mo.,Ind.,SL (mm),Bin,Locality,Photo label,Prey #,Mag,Prey,category,Resolution,Width (pix),Width (mm),Correct (mm),Width (um),Length (pix),Length (mm),Correct (mm),Length (um),Silh area (pix),Silh area (mm^2),Correct (mm^2),Ellipse area (mm^2),Scaling factor,Scaled width (mm),Scaled length (mm),Volume (mm^3),
Acropoma hanedai,48696,2016,5,5,46,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,6,46,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,10,46,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,6,39,30,,,1,,digested animal matter,animal,,,,,,,,,,,,,,,,,6,
Acropoma hanedai,48733,2016,5,9(13),48,40,,J48733-9R-2.5,,,digested animal matter,animal,2560,,,2.865,,,,4.55,,,,10.343,10.238,1.010,2.894,4.597,8,
Acropoma hanedai,48733,2016,5,6(10),49,40,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48681,2016,5,2(17),49,40,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,,,
Acropoma hanedai,48681,2016,5,8,49,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,9,49,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,5,50,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,7,50,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48733,2016,5,11(15),51,50,,J48733-11R-1.6,1,,unidentifiable fish bits w/ otolith & scales,fish,2560,,,3.328,,,,5.145,,,,14.729,13.448,1.095,3.645,5.635,12,
Acropoma hanedai,48696,2016,5,1,51,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48696,2016,5,6,52,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,4,52,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48706,2016,5,4,53,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48696,2016,5,2,55,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48696,2016,5,4,55,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353-2,2019,2,6,42,40,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48706,2016,5,2,59,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48706,2016,5,1,60,60,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,5(20),63,60,,J48681-5AR-2.0,1,,digested animal matter,animal,2560,,,2.690,,,,3.589,,,,6.30800,7.583,0.832,2.238,2.986,6,
Acropoma hanedai,48696,2016,5,3,64,60,,,1,,"unidentifiable fish muscle, fins",fish,,,,,,,,,,,,,,,,,60.5,
Acropoma hanedai,48733,2016,5,5,68,60,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48743,2016,5,4(9),69,60,,J48743-4-A2-0.8,1,,myctophid,fish,2560,,,9.900,,,,25.603,,,,205.713,199.074,1.033,10.230,26.457,462,
Acropoma hanedai,48743,2016,5,4(9),69,60,,J48743-4-A-0.8,1,,myctophid,fish,2560,,,7.939,,,,25.002,,,,177.61,155.894,1.139,9.045,28.485,390,
Acropoma hanedai,48743,2016,5,2(6),70,70,,J48743-2-A-0.8,1,,myctophid,fish,2560,,,6.918,,,,16.06,,,,103.488,87.260,1.186,8.205,19.047,300,
Acropoma hanedai,49353-2,2019,2,7,40,40,,,1,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,3,
Acropoma hanedai,48743,2016,5,3(7),74,70,,J48743-3-A-0.8,1,,myctophid,fish,2560,,,10.694,,,,26.814,,,,270.615,225.212,1.202,12.850,32.220,360,
Acropoma hanedai,49353,2019,2,7,74,70,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48743,2016,5,1,76,70,,,1,,myctophid,fish,,,,,,,,,,,,,x,x,x,x,375,
Acropoma hanedai,48743,2016,5,1,76,70,,,1,,unidentifiable whole fish,fish,,,,,,,,,,,,,,,,,210,
Acropoma hanedai,49353-2,2019,2,8,35,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,8,38,30,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,9,38,30,,,1,,decapod,crustacean,,,,,,,,,,,,,,,,,21,
Acropoma hanedai,49353,2019,2,9,38,30,,,1,,decapod,crustacean,,,,,,,,,,,,,,,,,12,
Acropoma hanedai,48681,2016,5,8(23),81,80,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48681,2016,5,7(22),82,80,,J48681-7-A-1.0,1,,unidentifiable fish w/ otolith,fish,2560,,,4.743,,,,9.221,,,,36.09600,34.350,1.051,4.984,9.690,12,
Acropoma hanedai,48681,2016,5,3,83,80,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,49353,2019,2,10,56,50,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,2,89,80,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48706,2016,5,3,90,90,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48681,2016,5,6(21),93,90,,J48681-6-A-0.8,1,,myctophid,fish,2560,,,8.827,,,,25.610,,,,229.18700,177.547,1.291,11.394,33.059,580,
Acropoma hanedai,48681,2016,5,6(21),93,90,,J48681-6-B-0.8,1,,myctophid,fish,2560,,,9.705,,,,22.49,,,,168.708,171.425,0.984,9.551,22.134,600,
Acropoma hanedai,48681,2016,5,6(21),93,90,,J48681-6-C-0.8,1,,unidentifiable fish head,fish,2560,,,17.039,,,,7.956,,,,100.81100,106.470,0.947,16.133,7.533,144, 
Acropoma hanedai,48733,2016,5,3,97,90,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48681,2016,5,1,99,90,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,
Acropoma hanedai,48733,2016,5,4(1),101,100,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48733,2016,5,2,106,100,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48733,2016,5,1(4),114,110,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
Acropoma hanedai,48733,2016,5,7(11),121,120,,,,,no stomach contents,none,,,,,,,,,,,,,x,x,x,x,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
