"","Species","MJar","FishID","Month","SL","Category","Vol"
"39","Acropoma hanedai","48733","48733_7(11)","May",121,"none",NA
"40","Acropoma hanedai","48733","48733_8(12)","May",44,"none",NA
"41","Acropoma hanedai","48733","48733_9(13)","May",48,"animal",8
"42","Acropoma hanedai","48743","48743_1","May",76,"fish",585
"43","Acropoma hanedai","48743","48743_2(6)","May",70,"fish",300
"44","Acropoma hanedai","48743","48743_3(7)","May",74,"fish",360
"45","Acropoma hanedai","48743","48743_4(9)","May",69,"fish",852
"46","Acropoma hanedai","49353","49353-2_1","Feb",79,"fish",564
"47","Acropoma hanedai","49353","49353-2_2","Feb",75,"none",NA
"48","Acropoma hanedai","49353","49353-2_3","Feb",44,"none",NA
"49","Acropoma hanedai","49353","49353-2_4","Feb",39,"none",NA
"50","Acropoma hanedai","49353","49353-2_5","Feb",45,"crustacean",2
"51","Acropoma hanedai","49353","49353-2_6","Feb",42,"none",NA
"52","Acropoma hanedai","49353","49353-2_7","Feb",40,"crustacean",3
"53","Acropoma hanedai","49353","49353-2_8","Feb",35,"none",NA
"54","Acropoma hanedai","49353","49353_1","Feb",79,"none",NA
"55","Acropoma hanedai","49353","49353_10","Feb",56,"none",NA
"56","Acropoma hanedai","49353","49353_2","Feb",81,"crustacean",32
"57","Acropoma hanedai","49353","49353_3","Feb",79,"crustacean",25
"58","Acropoma hanedai","49353","49353_4","Feb",89,"none",NA
"59","Acropoma hanedai","49353","49353_5","Feb",48,"none",NA
"60","Acropoma hanedai","49353","49353_6","Feb",39,"animal",6
"61","Acropoma hanedai","49353","49353_7","Feb",74,"none",NA
"62","Acropoma hanedai","49353","49353_8","Feb",38,"none",NA
"63","Acropoma hanedai","49353","49353_9","Feb",38,"crustacean",33
"64","Acropoma hanedai","49384","49384_1","Feb",39,"none",NA
"65","Acropoma hanedai","49384","49384_10","Feb",39,"none",NA
"66","Acropoma hanedai","49384","49384_11","Feb",35,"none",NA
"67","Acropoma hanedai","49384","49384_12","Feb",36,"none",NA
"68","Acropoma hanedai","49384","49384_13","Feb",45,"crustacean",60
"69","Acropoma hanedai","49384","49384_14","Feb",33,"crustacean",7
"70","Acropoma hanedai","49384","49384_15","Feb",32,"none",NA
"71","Acropoma hanedai","49384","49384_16","Feb",36,"crustacean",4
"72","Acropoma hanedai","49384","49384_17","Feb",35,"none",NA
"73","Acropoma hanedai","49384","49384_18","Feb",35,"crustacean",4.5
"74","Acropoma hanedai","49384","49384_19","Feb",42,"crustacean",6
"75","Acropoma hanedai","49384","49384_2","Feb",40,"none",NA
"76","Acropoma hanedai","49384","49384_20","Feb",35,"crustacean",6
"77","Acropoma hanedai","49384","49384_21","Feb",42,"none",NA
"78","Acropoma hanedai","49384","49384_22","Feb",40,"none",NA
"79","Acropoma hanedai","49384","49384_23","Feb",41,"crustacean",1
"80","Acropoma hanedai","49384","49384_24","Feb",35,"none",NA
"81","Acropoma hanedai","49384","49384_25","Feb",42,"none",NA
"82","Acropoma hanedai","49384","49384_26","Feb",35,"none",NA
"83","Acropoma hanedai","49384","49384_27","Feb",35,"none",NA
"84","Acropoma hanedai","49384","49384_28","Feb",31,"none",NA
"85","Acropoma hanedai","49384","49384_3","Feb",40,"none",NA
"86","Acropoma hanedai","49384","49384_4","Feb",35,"none",NA
"87","Acropoma hanedai","49384","49384_5","Feb",42,"none",NA
"88","Acropoma hanedai","49384","49384_6","Feb",44,"none",NA
"89","Acropoma hanedai","49384","49384_7","Feb",44,"none",NA
"90","Acropoma hanedai","49384","49384_8","Feb",39,"crustacean",5
"91","Acropoma hanedai","49384","49384_9","Feb",36,"crustacean",20
"92","Acropoma japonicum","48680","48680_11","May",62,"crustacean",16
"93","Acropoma japonicum","48680","48680_11","May",62,"mollusk",12
"94","Acropoma japonicum","48680","48680_7","May",126,"fish",18
"95","Acropoma japonicum","48680","48680_8","May",94,"none",NA
"96","Acropoma japonicum","48680","48680_9","May",121,"crustacean",20
"97","Acropoma japonicum","48707","48707-2_1","May",113,"none",NA
"98","Acropoma japonicum","48707","48707-2_2","May",94,"none",NA
"99","Acropoma japonicum","48707","48707-2_3","May",109,"fish",12
"100","Acropoma japonicum","48707","48707-2_4","May",84,"none",NA
"101","Acropoma japonicum","48707","48707-2_5","May",87,"none",NA
"102","Acropoma japonicum","48707","48707-2_6","May",89,"animal",2
"103","Acropoma japonicum","48707","48707-2_7","May",94,"fish",50
"104","Acropoma japonicum","48707","48707-2_8","May",104,"animal",4
"105","Acropoma japonicum","48707","48707-3_1","May",112,"none",NA
"106","Acropoma japonicum","48707","48707-3_2","May",98,"none",NA
"107","Acropoma japonicum","48707","48707-3_3","May",89,"none",NA
"108","Acropoma japonicum","48707","48707-3_4","May",82,"none",NA
"109","Acropoma japonicum","48707","48707-3_5","May",89,"none",NA
"110","Acropoma japonicum","48707","48707-3_6","May",83,"none",NA
"111","Acropoma japonicum","48707","48707_1","May",85,"crustacean",9
"112","Acropoma japonicum","48707","48707_10","May",56,"crustacean",70
"113","Acropoma japonicum","48707","48707_2 (5)","May",80,"crustacean",16
"114","Acropoma japonicum","48707","48707_3 (2)","May",78,"crustacean",20
"115","Acropoma japonicum","48707","48707_3 (2)","May",78,"fish",10
"116","Acropoma japonicum","48707","48707_4","May",72,"animal",6
"117","Acropoma japonicum","48707","48707_5 (3)","May",78,"crustacean",12
"118","Acropoma japonicum","48707","48707_6","May",80,"crustacean",9
"119","Acropoma japonicum","49354","49354-2_1","Feb",92,"fish",0.5
"120","Acropoma japonicum","49354","49354-2_10","Feb",69,"none",NA
"121","Acropoma japonicum","49354","49354-2_11","Feb",74,"none",NA
"122","Acropoma japonicum","49354","49354-2_12","Feb",74,"none",NA
"123","Acropoma japonicum","49354","49354-2_13","Feb",70,"none",NA
"124","Acropoma japonicum","49354","49354-2_14","Feb",68,"fish",8
"125","Acropoma japonicum","49354","49354-2_15","Feb",59,"crustacean",12
"126","Acropoma japonicum","49354","49354-2_16","Feb",50,"none",NA
"127","Acropoma japonicum","49354","49354-2_17","Feb",69,"none",NA
"128","Acropoma japonicum","49354","49354-2_18","Feb",63,"fish",196
"129","Acropoma japonicum","49354","49354-2_19","Feb",64,"fish",63
"130","Acropoma japonicum","49354","49354-2_2","Feb",90,"none",NA
"131","Acropoma japonicum","49354","49354-2_20","Feb",54,"crustacean",50
"132","Acropoma japonicum","49354","49354-2_21","Feb",55,"none",NA
"133","Acropoma japonicum","49354","49354-2_22","Feb",55,"fish",364
"134","Acropoma japonicum","49354","49354-2_23","Feb",55,"fish",24
"135","Acropoma japonicum","49354","49354-2_24","Feb",84,"none",NA
"136","Acropoma japonicum","49354","49354-2_25","Feb",60,"fish",364
"137","Acropoma japonicum","49354","49354-2_26","Feb",59,"none",NA
"138","Acropoma japonicum","49354","49354-2_27","Feb",53,"none",NA
"139","Acropoma japonicum","49354","49354-2_28","Feb",67,"fish",276
"140","Acropoma japonicum","49354","49354-2_29","Feb",69,"none",NA
"141","Acropoma japonicum","49354","49354-2_3","Feb",73,"crustacean",4
"142","Acropoma japonicum","49354","49354-2_3","Feb",73,"fish",15
"143","Acropoma japonicum","49354","49354-2_30","Feb",62,"crustacean",0.004
"144","Acropoma japonicum","49354","49354-2_30","Feb",62,"fish",120
"145","Acropoma japonicum","49354","49354-2_4","Feb",83,"fish",2
"146","Acropoma japonicum","49354","49354-2_5","Feb",75,"crustacean",77
"147","Acropoma japonicum","49354","49354-2_5","Feb",75,"fish",121.5
"148","Acropoma japonicum","49354","49354-2_6","Feb",70,"none",NA
"149","Acropoma japonicum","49354","49354-2_7","Feb",73,"none",NA
"150","Acropoma japonicum","49354","49354-2_8","Feb",69,"none",NA
"151","Acropoma japonicum","49354","49354-2_9","Feb",71,"none",NA
"152","Acropoma japonicum","49354","49354_1","Feb",103,"none",NA
"153","Acropoma japonicum","49354","49354_10","Feb",59,"crustacean",12
"154","Acropoma japonicum","49354","49354_11","Feb",67,"none",NA
"155","Acropoma japonicum","49354","49354_12","Feb",59,"none",NA
"156","Acropoma japonicum","49354","49354_13","Feb",58,"none",NA
"157","Acropoma japonicum","49354","49354_14","Feb",89,"fish",140
"158","Acropoma japonicum","49354","49354_15","Feb",63,"animal",4
"159","Acropoma japonicum","49354","49354_16","Feb",65,"none",NA
"160","Acropoma japonicum","49354","49354_17","Feb",64,"none",NA
"161","Acropoma japonicum","49354","49354_18","Feb",56,"fish",193
"162","Acropoma japonicum","49354","49354_19","Feb",59,"crustacean",28
"163","Acropoma japonicum","49354","49354_19","Feb",59,"fish",138
"164","Acropoma japonicum","49354","49354_2","Feb",101,"fish",345
"165","Acropoma japonicum","49354","49354_20","Feb",89,"none",NA
"166","Acropoma japonicum","49354","49354_21","Feb",86,"fish",120
"167","Acropoma japonicum","49354","49354_22","Feb",66,"animal",4
"168","Acropoma japonicum","49354","49354_23","Feb",73,"none",NA
"169","Acropoma japonicum","49354","49354_24","Feb",51,"animal",6
"170","Acropoma japonicum","49354","49354_3","Feb",76,"none",NA
"171","Acropoma japonicum","49354","49354_4","Feb",92,"fish",144
"172","Acropoma japonicum","49354","49354_5","Feb",93,"fish",100
"173","Acropoma japonicum","49354","49354_6","Feb",96,"animal",9
"174","Acropoma japonicum","49354","49354_7","Feb",64,"fish",255
"175","Acropoma japonicum","49354","49354_8","Feb",67,"fish",160
"176","Acropoma japonicum","49354","49354_9","Feb",63,"fish",220
