Species,JFBM,year,month,Ind.,SL (mm),Bin,Locality,Photo label,Prey #,Mag,Prey #,Prey,category,Resolution,Width (pix),Width (mm),Correct (mm),Width (um),Length (pix),Length (mm),Correct (mm),Length (um),Silh area (pix),Silh area (mm^2),Correct (mm^2),Ellipse area (mm^2),Scaling factor,Scaled width (mm),Scaled length (mm),Volume (mm^3),,,,
Acropoma japonicum,49354-2,2019,2,30,62,60,,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,0.004,,species based graph- averages of different foods?,,
Acropoma japonicum,48680,2016,5,11,62,60,,J48680-11-A,1,,1,unidentifiable crustacean,crustacean,,,,,,,,,,,,29.408,0,#DIV/0!,#DIV/0!,#DIV/0!,16,,,,
Acropoma japonicum,49354-2,2019,2,30,62,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,120,,Niche partitioning,,
Acropoma japonicum,48680,2016,5,11,62,60,,J48680-11-A,1,,1,cephalopod part beak,mollusk,,,,,,,,,,,,,,,,,12,,,,
Acropoma japonicum,49354,2019,2,15,63,60,,,,,,digested animal matter,animal,,,,,,,,,,,,,,,,,4,,,,
Acropoma japonicum,49354,2019,2,9,63,60,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,220,,,,
Acropoma japonicum,49354-2,2019,2,18,63,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,196,,,,
Acropoma japonicum,49354,2019,2,7,64,60,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,255,,,,
Acropoma japonicum,49354-2,2019,2,19,64,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,63,,,,
Acropoma japonicum,49354,2019,2,17,64,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,16,65,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,22,66,60,,,,,,digested animal matter,animal,,,,,,,,,,,,,,,,,4,,,,
Acropoma japonicum,49354,2019,2,8,67,60,,,,,,myctophid,fish,,,,,,,,,,,,,,,,,160,,,,
Acropoma japonicum,49354-2,2019,2,28,67,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,276,,,,
Acropoma japonicum,49354,2019,2,11,67,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,14,68,60,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,8,,,,
Acropoma japonicum,49354-2,2019,2,8,69,660,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,10,69,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,17,69,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,29,69,60,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,6,70,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,13,70,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,9,71,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,4,72,70,,J48707-4-A,,,,digested animal matter,animal,,,,,,,,,,,,17.475,0,#DIV/0!,#DIV/0!,#DIV/0!,6,,,,
Acropoma japonicum,49354-2,2019,2,3,73,70,,,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,,,,,4,,,,
Acropoma japonicum,49354-2,2019,2,3,73,70,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,15,,,,
Acropoma japonicum,49354,2019,2,23,73,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,7,73,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,11,74,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,12,74,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,5,75,70,,,,,,decapod crustacean,crustacean,,,,,,,,,,,,,,,,,77,,,,
Acropoma japonicum,49354-2,2019,2,5,75,70,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,121.5,,,,
Acropoma japonicum,49354,2019,2,3,76,70,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,3 (2),78,70,,J48707-3(2)-A,,,,unidentifiable crustaceans,crustacean,,,,,,,,,,,,24.86,0,#DIV/0!,#DIV/0!,#DIV/0!,20,,,,
Acropoma japonicum,48707,2016,5,5 (3),78,70,,J48707-5(3)-A,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,26.658,0,#DIV/0!,#DIV/0!,#DIV/0!,12,,,,
Acropoma japonicum,48707,2016,5,3 (2),78,70,,J48707-3(2)-A,1,,1,fish otoliths,fish,,,,,,,,,,,,,,,,,10,,,,
Acropoma japonicum,48707,2016,5,2 (5),80,80,,J48707-2(5)-A,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,,0,#DIV/0!,#DIV/0!,#DIV/0!,16,,,,
Acropoma japonicum,48707,2016,5,6,80,80,,J48707-6-A,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,55.252,0,#DIV/0!,#DIV/0!,#DIV/0!,9,,,,
Acropoma japonicum,48707,2016,5,4,82,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,4,83,80,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,2,,,,
Acropoma japonicum,48707,2016,5,6,83,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,24,84,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,4,84,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,1,85,80,,J48707-1-A,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,20.609,0,#DIV/0!,#DIV/0!,#DIV/0!,9,,,,
Acropoma japonicum,49354,2019,2,21,86,80,,,1,,1,unidentfiable fish,fish,,,,,,,,,,,,,,,,,120,,,,
Acropoma japonicum,48707,2016,5,5,87,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,6,89,80,,,,,,digested animal matter,animal,,,,,,,,,,,,,,,,,2,,,,
Acropoma japonicum,49354,2019,2,14,89,80,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,140,,,,
Acropoma japonicum,49354,2019,2,20,89,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,3,89,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,5,89,80,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354-2,2019,2,2,90,90,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,4,92,90,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,144,,,,
Acropoma japonicum,49354-2,2019,2,1,92,90,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,0.5,,,,
Acropoma japonicum,49354,2019,2,5,93,90,,,1,,1,unidentifiable fish,fish,,,,,,,,,,,,,,,,,100,,,,
Acropoma japonicum,48707,2016,5,7,94,90,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,50,,,,
Acropoma japonicum,48680,2016,5,8,94,90,,x,,,,no stomach contents,none,,,,-,,,,-,,,,-,-,-,-,-,,,,,
Acropoma japonicum,48707,2016,5,2,94,90,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,6,96,90,,,,,,digested animal material,animal,,,,,,,,,,,,,,,,,9,,,,
Acropoma japonicum,48707,2016,5,2,98,90,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,49354,2019,2,2,101,100,,,1,,1,myctophid,fish,,,,,,,,,,,,,,,,,345,,,,
Acropoma japonicum,49354,2019,2,1,103,100,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,8,104,100,,,,,,digested animal matter,animal,,,,,,,,,,,,,,,,,4,,,,
Acropoma japonicum,48707,2016,5,3,109,100,,,,,,unidentifiable fish,fish,,,,,,,,,,,,,,,,,12,,,,
Acropoma japonicum,48707,2016,5,1,112,110,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48707,2016,5,1,113,110,,,,,,no stomach contents,none,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,48680,2016,5,9,121,120,,J48680-9-A,,,,unidentifiable crustacean,crustacean,,,,,,,,,,,,79.168,0,#DIV/0!,#DIV/0!,#DIV/0!,20,,,,
Acropoma japonicum,48680,2016,5,7,126,120,,J48680-7-A,1,,1,fish otolith & unident tiss,fish,,,,,,,,,,,,32.515,0,#DIV/0!,#DIV/0!,#DIV/0!,18,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acropoma japonicum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
