"","Species","MJar","FishID","Month","SL","SClass","animal","crustacean","fish","mollusk","Content"
"77","Acropoma hanedai","49384","49384_21","Feb",42,0,0,0,0,0,0
"78","Acropoma hanedai","49384","49384_22","Feb",40,0,0,0,0,0,0
"79","Acropoma hanedai","49384","49384_23","Feb",41,0,0,1,0,0,1
"80","Acropoma hanedai","49384","49384_24","Feb",35,0,0,0,0,0,0
"81","Acropoma hanedai","49384","49384_25","Feb",42,0,0,0,0,0,0
"82","Acropoma hanedai","49384","49384_26","Feb",35,0,0,0,0,0,0
"83","Acropoma hanedai","49384","49384_27","Feb",35,0,0,0,0,0,0
"84","Acropoma hanedai","49384","49384_28","Feb",31,0,0,0,0,0,0
"85","Acropoma hanedai","49384","49384_3","Feb",40,0,0,0,0,0,0
"86","Acropoma hanedai","49384","49384_4","Feb",35,0,0,0,0,0,0
"87","Acropoma hanedai","49384","49384_5","Feb",42,0,0,0,0,0,0
"88","Acropoma hanedai","49384","49384_6","Feb",44,0,0,0,0,0,0
"89","Acropoma hanedai","49384","49384_7","Feb",44,0,0,0,0,0,0
"90","Acropoma hanedai","49384","49384_8","Feb",39,0,0,5,0,0,1
"91","Acropoma hanedai","49384","49384_9","Feb",36,0,0,20,0,0,1
"92","Acropoma japonicum","48680","48680_11","May",62,1,0,16,0,12,1
"93","Acropoma japonicum","48680","48680_7","May",126,1,0,0,18,0,1
"94","Acropoma japonicum","48680","48680_8","May",94,1,0,0,0,0,0
"95","Acropoma japonicum","48680","48680_9","May",121,1,0,20,0,0,1
"96","Acropoma japonicum","48707","48707-2_1","May",113,1,0,0,0,0,0
"97","Acropoma japonicum","48707","48707-2_2","May",94,1,0,0,0,0,0
"98","Acropoma japonicum","48707","48707-2_3","May",109,1,0,0,12,0,1
"99","Acropoma japonicum","48707","48707-2_4","May",84,1,0,0,0,0,0
"100","Acropoma japonicum","48707","48707-2_5","May",87,1,0,0,0,0,0
"101","Acropoma japonicum","48707","48707-2_6","May",89,1,2,0,0,0,1
"102","Acropoma japonicum","48707","48707-2_7","May",94,1,0,0,50,0,1
"103","Acropoma japonicum","48707","48707-2_8","May",104,1,4,0,0,0,1
"104","Acropoma japonicum","48707","48707-3_1","May",112,1,0,0,0,0,0
"105","Acropoma japonicum","48707","48707-3_2","May",98,1,0,0,0,0,0
"106","Acropoma japonicum","48707","48707-3_3","May",89,1,0,0,0,0,0
"107","Acropoma japonicum","48707","48707-3_4","May",82,1,0,0,0,0,0
"108","Acropoma japonicum","48707","48707-3_5","May",89,1,0,0,0,0,0
"109","Acropoma japonicum","48707","48707-3_6","May",83,1,0,0,0,0,0
"110","Acropoma japonicum","48707","48707_1","May",85,1,0,9,0,0,1
"111","Acropoma japonicum","48707","48707_10","May",56,0,0,70,0,0,1
"112","Acropoma japonicum","48707","48707_2 (5)","May",80,1,0,16,0,0,1
"113","Acropoma japonicum","48707","48707_3 (2)","May",78,1,0,20,10,0,1
"114","Acropoma japonicum","48707","48707_4","May",72,1,6,0,0,0,1
"115","Acropoma japonicum","48707","48707_5 (3)","May",78,1,0,12,0,0,1
"116","Acropoma japonicum","48707","48707_6","May",80,1,0,9,0,0,1
"117","Acropoma japonicum","49354","49354-2_1","Feb",92,1,0,0,0.5,0,1
"118","Acropoma japonicum","49354","49354-2_10","Feb",69,1,0,0,0,0,0
"119","Acropoma japonicum","49354","49354-2_11","Feb",74,1,0,0,0,0,0
"120","Acropoma japonicum","49354","49354-2_12","Feb",74,1,0,0,0,0,0
"121","Acropoma japonicum","49354","49354-2_13","Feb",70,1,0,0,0,0,0
"122","Acropoma japonicum","49354","49354-2_14","Feb",68,1,0,0,8,0,1
"123","Acropoma japonicum","49354","49354-2_15","Feb",59,0,0,12,0,0,1
"124","Acropoma japonicum","49354","49354-2_16","Feb",50,0,0,0,0,0,0
"125","Acropoma japonicum","49354","49354-2_17","Feb",69,1,0,0,0,0,0
"126","Acropoma japonicum","49354","49354-2_18","Feb",63,1,0,0,196,0,1
"127","Acropoma japonicum","49354","49354-2_19","Feb",64,1,0,0,63,0,1
"128","Acropoma japonicum","49354","49354-2_2","Feb",90,1,0,0,0,0,0
"129","Acropoma japonicum","49354","49354-2_20","Feb",54,0,0,50,0,0,1
"130","Acropoma japonicum","49354","49354-2_21","Feb",55,0,0,0,0,0,0
"131","Acropoma japonicum","49354","49354-2_22","Feb",55,0,0,0,364,0,1
"132","Acropoma japonicum","49354","49354-2_23","Feb",55,0,0,0,24,0,1
"133","Acropoma japonicum","49354","49354-2_24","Feb",84,1,0,0,0,0,0
"134","Acropoma japonicum","49354","49354-2_25","Feb",60,1,0,0,364,0,1
"135","Acropoma japonicum","49354","49354-2_26","Feb",59,0,0,0,0,0,0
"136","Acropoma japonicum","49354","49354-2_27","Feb",53,0,0,0,0,0,0
"137","Acropoma japonicum","49354","49354-2_28","Feb",67,1,0,0,276,0,1
"138","Acropoma japonicum","49354","49354-2_29","Feb",69,1,0,0,0,0,0
"139","Acropoma japonicum","49354","49354-2_3","Feb",73,1,0,4,15,0,1
"140","Acropoma japonicum","49354","49354-2_30","Feb",62,1,0,0.004,120,0,1
"141","Acropoma japonicum","49354","49354-2_4","Feb",83,1,0,0,2,0,1
"142","Acropoma japonicum","49354","49354-2_5","Feb",75,1,0,77,121.5,0,1
"143","Acropoma japonicum","49354","49354-2_6","Feb",70,1,0,0,0,0,0
"144","Acropoma japonicum","49354","49354-2_7","Feb",73,1,0,0,0,0,0
"145","Acropoma japonicum","49354","49354-2_8","Feb",69,1,0,0,0,0,0
"146","Acropoma japonicum","49354","49354-2_9","Feb",71,1,0,0,0,0,0
"147","Acropoma japonicum","49354","49354_1","Feb",103,1,0,0,0,0,0
"148","Acropoma japonicum","49354","49354_10","Feb",59,0,0,12,0,0,1
"149","Acropoma japonicum","49354","49354_11","Feb",67,1,0,0,0,0,0
"150","Acropoma japonicum","49354","49354_12","Feb",59,0,0,0,0,0,0
"151","Acropoma japonicum","49354","49354_13","Feb",58,0,0,0,0,0,0
"152","Acropoma japonicum","49354","49354_14","Feb",89,1,0,0,140,0,1
"153","Acropoma japonicum","49354","49354_15","Feb",63,1,4,0,0,0,1
"154","Acropoma japonicum","49354","49354_16","Feb",65,1,0,0,0,0,0
"155","Acropoma japonicum","49354","49354_17","Feb",64,1,0,0,0,0,0
"156","Acropoma japonicum","49354","49354_18","Feb",56,0,0,0,193,0,1
"157","Acropoma japonicum","49354","49354_19","Feb",59,0,0,28,138,0,1
"158","Acropoma japonicum","49354","49354_2","Feb",101,1,0,0,345,0,1
"159","Acropoma japonicum","49354","49354_20","Feb",89,1,0,0,0,0,0
"160","Acropoma japonicum","49354","49354_21","Feb",86,1,0,0,120,0,1
"161","Acropoma japonicum","49354","49354_22","Feb",66,1,4,0,0,0,1
"162","Acropoma japonicum","49354","49354_23","Feb",73,1,0,0,0,0,0
"163","Acropoma japonicum","49354","49354_24","Feb",51,0,6,0,0,0,1
"164","Acropoma japonicum","49354","49354_3","Feb",76,1,0,0,0,0,0
"165","Acropoma japonicum","49354","49354_4","Feb",92,1,0,0,144,0,1
"166","Acropoma japonicum","49354","49354_5","Feb",93,1,0,0,100,0,1
"167","Acropoma japonicum","49354","49354_6","Feb",96,1,9,0,0,0,1
"168","Acropoma japonicum","49354","49354_7","Feb",64,1,0,0,255,0,1
"169","Acropoma japonicum","49354","49354_8","Feb",67,1,0,0,160,0,1
"170","Acropoma japonicum","49354","49354_9","Feb",63,1,0,0,220,0,1
