"","Species","MJar","FishID","Month","SL","Category","Vol"
"45","Acropoma japonicum","49354","49354-2_7","Feb",73,"none",NA
"46","Acropoma japonicum","49354","49354-2_11","Feb",74,"none",NA
"47","Acropoma japonicum","49354","49354-2_12","Feb",74,"none",NA
"48","Acropoma japonicum","49354","49354-2_5","Feb",75,"crustacean",77
"49","Acropoma japonicum","49354","49354-2_5","Feb",75,"fish",121.5
"50","Acropoma japonicum","49354","49354_3","Feb",76,"none",NA
"51","Acropoma japonicum","48707","48707-2_1","May",113,"none",NA
"52","Acropoma japonicum","48707","48707-2_2","May",94,"none",NA
"53","Acropoma japonicum","48707","48707-3_2","May",98,"none",NA
"54","Acropoma japonicum","48707","48707-3_3","May",89,"none",NA
"55","Acropoma japonicum","48707","48707-2_3","May",109,"fish",12
"56","Acropoma japonicum","48707","48707_4","May",72,"animal",6
"57","Acropoma japonicum","49354","49354-2_4","Feb",83,"fish",2
"58","Acropoma japonicum","48707","48707-3_4","May",82,"none",NA
"59","Acropoma japonicum","49354","49354-2_24","Feb",84,"none",NA
"60","Acropoma japonicum","48707","48707-2_4","May",84,"none",NA
"61","Acropoma japonicum","48707","48707-2_5","May",87,"none",NA
"62","Acropoma japonicum","49354","49354_21","Feb",86,"fish",120
"63","Acropoma japonicum","48707","48707-3_5","May",89,"none",NA
"64","Acropoma japonicum","48707","48707_6","May",80,"crustacean",9
"65","Acropoma japonicum","49354","49354_14","Feb",89,"fish",140
"66","Acropoma japonicum","49354","49354_20","Feb",89,"none",NA
"67","Acropoma japonicum","48707","48707-3_6","May",83,"none",NA
"68","Acropoma japonicum","48707","48707-2_6","May",89,"animal",2
"69","Acropoma japonicum","49354","49354-2_2","Feb",90,"none",NA
"70","Acropoma japonicum","49354","49354_4","Feb",92,"fish",144
"71","Acropoma japonicum","49354","49354-2_1","Feb",92,"fish",0.5
"72","Acropoma japonicum","49354","49354_5","Feb",93,"fish",100
"73","Acropoma japonicum","48707","48707-2_7","May",94,"fish",50
"74","Acropoma japonicum","48680","48680_8","May",94,"none",NA
"75","Acropoma japonicum","48707","48707-2_8","May",104,"animal",4
"76","Acropoma japonicum","49354","49354_6","Feb",96,"animal",9
"77","Acropoma japonicum","48707","48707_10","May",56,"crustacean",70
"78","Acropoma japonicum","49354","49354_2","Feb",101,"fish",345
"79","Acropoma japonicum","49354","49354_1","Feb",103,"none",NA
"80","Acropoma japonicum","48707","48707_2 (5)","May",80,"crustacean",16
"81","Acropoma japonicum","48707","48707_3 (2)","May",78,"crustacean",20
"82","Acropoma japonicum","48707","48707_3 (2)","May",78,"fish",10
"83","Acropoma japonicum","48707","48707_5 (3)","May",78,"crustacean",12
"84","Acropoma japonicum","48680","48680_9","May",121,"crustacean",20
"85","Acropoma japonicum","48680","48680_7","May",126,"fish",18
"86","Acropoma hanedai","49384","49384_28","Feb",31,"none",NA
"87","Acropoma hanedai","49384","49384_15","Feb",32,"none",NA
"88","Acropoma hanedai","49384","49384_14","Feb",33,"crustacean",7
"89","Acropoma hanedai","49384","49384_18","Feb",35,"crustacean",4.5
"90","Acropoma hanedai","49384","49384_20","Feb",35,"crustacean",6
"91","Acropoma hanedai","49353","49353-2_1","Feb",79,"fish",564
"92","Acropoma hanedai","49384","49384_4","Feb",35,"none",NA
"93","Acropoma hanedai","49384","49384_11","Feb",35,"none",NA
"94","Acropoma hanedai","49384","49384_17","Feb",35,"none",NA
"95","Acropoma hanedai","49384","49384_24","Feb",35,"none",NA
"96","Acropoma hanedai","49384","49384_26","Feb",35,"none",NA
"97","Acropoma hanedai","49384","49384_27","Feb",35,"none",NA
"98","Acropoma hanedai","49384","49384_9","Feb",36,"crustacean",20
"99","Acropoma hanedai","49384","49384_16","Feb",36,"crustacean",4
"100","Acropoma hanedai","49384","49384_12","Feb",36,"none",NA
"101","Acropoma hanedai","49353","49353_1","Feb",79,"none",NA
"102","Acropoma hanedai","49353","49353-2_2","Feb",75,"none",NA
"103","Acropoma hanedai","49353","49353_2","Feb",81,"crustacean",32
"104","Acropoma hanedai","49353","49353-2_3","Feb",44,"none",NA
"105","Acropoma hanedai","49384","49384_8","Feb",39,"crustacean",5
"106","Acropoma hanedai","49353","49353_3","Feb",79,"crustacean",25
"107","Acropoma hanedai","49384","49384_1","Feb",39,"none",NA
"108","Acropoma hanedai","49384","49384_10","Feb",39,"none",NA
"109","Acropoma hanedai","49353","49353-2_4","Feb",39,"none",NA
"110","Acropoma hanedai","49384","49384_2","Feb",40,"none",NA
"111","Acropoma hanedai","49384","49384_3","Feb",40,"none",NA
"112","Acropoma hanedai","49384","49384_22","Feb",40,"none",NA
"113","Acropoma hanedai","49384","49384_23","Feb",41,"crustacean",1
"114","Acropoma hanedai","49384","49384_19","Feb",42,"crustacean",6
"115","Acropoma hanedai","49353","49353_4","Feb",89,"none",NA
"116","Acropoma hanedai","49384","49384_5","Feb",42,"none",NA
"117","Acropoma hanedai","49384","49384_21","Feb",42,"none",NA
"118","Acropoma hanedai","49384","49384_25","Feb",42,"none",NA
"119","Acropoma hanedai","48733","48733_10(14)","May",43,"crustacean",12
"120","Acropoma hanedai","48681","48681_3(18)","May",43,"none",NA
"121","Acropoma hanedai","49353","49353-2_5","Feb",45,"crustacean",2
"122","Acropoma hanedai","49384","49384_6","Feb",44,"none",NA
"123","Acropoma hanedai","49384","49384_7","Feb",44,"none",NA
"124","Acropoma hanedai","48696","48696_8","May",44,"crustacean",3
"125","Acropoma hanedai","48733","48733_8(12)","May",44,"none",NA
"126","Acropoma hanedai","49353","49353_5","Feb",48,"none",NA
"127","Acropoma hanedai","49384","49384_13","Feb",45,"crustacean",60
"128","Acropoma hanedai","48696","48696_7","May",45,"none",NA
"129","Acropoma hanedai","48681","48681_1(16)","May",46,"animal",4
"130","Acropoma hanedai","48681","48681_4(19)","May",46,"crustacean",8
"131","Acropoma hanedai","48696","48696_5","May",46,"none",NA
"132","Acropoma hanedai","48681","48681_6","May",46,"none",NA
"133","Acropoma hanedai","48681","48681_10","May",46,"none",NA
"134","Acropoma hanedai","49353","49353_6","Feb",39,"animal",6
"135","Acropoma hanedai","48733","48733_9(13)","May",48,"animal",8
"136","Acropoma hanedai","48733","48733_6(10)","May",49,"none",NA
"137","Acropoma hanedai","48681","48681_2(17)","May",49,"none",NA
"138","Acropoma hanedai","48681","48681_8","May",49,"none",NA
"139","Acropoma hanedai","48681","48681_9","May",49,"none",NA
"140","Acropoma hanedai","48681","48681_5","May",50,"none",NA
"141","Acropoma hanedai","48681","48681_7","May",50,"none",NA
"142","Acropoma hanedai","48733","48733_11(15)","May",51,"fish",12
"143","Acropoma hanedai","48696","48696_1","May",51,"none",NA
"144","Acropoma hanedai","48696","48696_6","May",52,"none",NA
"145","Acropoma hanedai","48681","48681_4","May",52,"none",NA
"146","Acropoma hanedai","48706","48706_4","May",53,"none",NA
"147","Acropoma hanedai","48696","48696_2","May",55,"none",NA
"148","Acropoma hanedai","48696","48696_4","May",55,"none",NA
"149","Acropoma hanedai","49353","49353-2_6","Feb",42,"none",NA
"150","Acropoma hanedai","48706","48706_2","May",59,"none",NA
"151","Acropoma hanedai","48706","48706_1","May",60,"none",NA
"152","Acropoma hanedai","48681","48681_5(20)","May",63,"animal",6
"153","Acropoma hanedai","48696","48696_3","May",64,"fish",60.5
"154","Acropoma hanedai","48733","48733_5","May",68,"none",NA
"155","Acropoma hanedai","48743","48743_4(9)","May",69,"fish",462
"156","Acropoma hanedai","48743","48743_4(9)","May",69,"fish",390
"157","Acropoma hanedai","48743","48743_2(6)","May",70,"fish",300
"158","Acropoma hanedai","49353","49353-2_7","Feb",40,"crustacean",3
"159","Acropoma hanedai","48743","48743_3(7)","May",74,"fish",360
"160","Acropoma hanedai","49353","49353_7","Feb",74,"none",NA
"161","Acropoma hanedai","48743","48743_1","May",76,"fish",375
"162","Acropoma hanedai","48743","48743_1","May",76,"fish",210
"163","Acropoma hanedai","49353","49353-2_8","Feb",35,"none",NA
"164","Acropoma hanedai","49353","49353_8","Feb",38,"none",NA
"165","Acropoma hanedai","49353","49353_9","Feb",38,"crustacean",21
"166","Acropoma hanedai","49353","49353_9","Feb",38,"crustacean",12
"167","Acropoma hanedai","48681","48681_8(23)","May",81,"none",NA
"168","Acropoma hanedai","48681","48681_7(22)","May",82,"fish",12
"169","Acropoma hanedai","48681","48681_3","May",83,"none",NA
"170","Acropoma hanedai","49353","49353_10","Feb",56,"none",NA
"171","Acropoma hanedai","48681","48681_2","May",89,"none",NA
"172","Acropoma hanedai","48706","48706_3","May",90,"none",NA
"173","Acropoma hanedai","48681","48681_6(21)","May",93,"fish",580
"174","Acropoma hanedai","48681","48681_6(21)","May",93,"fish",600
"175","Acropoma hanedai","48681","48681_6(21)","May",93,"fish",144
"176","Acropoma hanedai","48733","48733_3","May",97,"none",NA
"177","Acropoma hanedai","48681","48681_1","May",99,"none",NA
"178","Acropoma hanedai","48733","48733_4(1)","May",101,"none",NA
"179","Acropoma hanedai","48733","48733_2","May",106,"none",NA
"180","Acropoma hanedai","48733","48733_1(4)","May",114,"none",NA
"181","Acropoma hanedai","48733","48733_7(11)","May",121,"none",NA
